Player,Cost,Pos,OFF,TEC,STA,DEF,POW,SPD,Total,Special Skills,Red Positions,Series
Neymar Jr,44,FW,1221,1245,877,789,679,1228,6039,Long Ranger + Pedalada Dribble,CF+LWG,NDS5 Brazil (2016)
T. Silva,43,DF,772,1065,897,1280,1182,983,6179,Chasing + Frontline Feed,CB,NDS5 Brazil (2016)
Dani Alves,39,DF,790,1036,824,1040,756,1064,5510,Chasing + Speed Dribble,RSB+RMF,NDS5 Brazil (2016)
Miranda,38,DF,681,840,889,1170,1074,919,5573,Chasing + Aerial Duel,CB,NDS5 Brazil (2016)
D. Costa,38,MF,1066,944,868,719,671,1080,5348,Early Cross + Speed Dribble,OMF+LMF+LWG+RWG,NDS5 Brazil (2016)
David Luiz,37,DF,973,972,805,833,943,924,5450,Block Buster + Chasing,CB+DMF,NDS5 Brazil (2016)
Oscar,37,MF,1005,1066,810,706,634,959,5180,Stealth Pass + Speed Dribble,OMF+RMF+RWG,NDS5 Brazil (2016)
Willian,37,MF,1063,927,934,666,573,1027,5190,Killer Pass + Speedster,OMF+RMF+RWG,NDS5 Brazil (2016)
Filipe Luís,36,DF,702,808,971,1016,691,957,5145,Chasing + Aerial Duel,LSB,NDS5 Brazil (2016)
Fernandinho,36,MF,813,942,744,921,885,932,5237,Long Ranger + Chasing,DMF,NDS5 Brazil (2016)
L. Gustavo,36,MF,,,,,,,0,Stealth Pass + Chasing,DMF+LSB,NDS5 Brazil (2016)
Hulk,36,FW,1007,768,814,648,896,838,4971,Early Cross + Speed Dribble,CF+RWG,NDS5 Brazil (2016)
Kaka',33,MF,954,947,530,584,821,770,4606,Stealth Pass + Speed Dribble,OMF+LMF,NDS5 Brazil (2016)
Danilo,32,DF,739,820,675,767,692,867,4560,Destroyer,RSB,NDS5 Brazil (2016)
Firmino,31,FW,951,793,700,492,648,767,4351,Technician,CF+OMF,NDS5 Brazil (2016)
Lucas Lima,30,MF,906,846,657,509,518,807,4243,Killer Pass,OMF,NDS5 Brazil (2016)
Elias,29,MF,648,793,703,763,632,733,4272,Destroyer,DMF,NDS5 Brazil (2016)
R. Augusto,28,MF,828,658,646,475,634,678,3919,Flamboyant Feed,OMF,NDS5 Brazil (2016)
Alisson,27,GK,,,,,,,0,Shield of Iron,GK,NDS5 Brazil (2016)
R. Oliveira,26,FW,789,660,559,399,636,545,3588,Trick Shot,CF,NDS5 Brazil (2016)
Neymar Jr,42,FW,1192,1199,853,793,706,1194,5937,Long Ranger + Pedalada Dribble,CF+LWG,NDS4 Brazil (2015 Season2)
T. Silva,41,DF,722,886,976,1200,1023,967,5774,Chasing + Frontline Feed,CB,NDS4 Brazil (2015 Season2)
Dani Alves,38,DF,914,846,827,866,854,1022,5329,Chasing + Speed Dribble,RSB+RMF,NDS4 Brazil (2015 Season2)
Miranda,36,DF,590,747,806,1114,1028,842,5127,Chasing + Aerial Duel,CB,NDS4 Brazil (2015 Season2)
David Luiz,36,DF,915,875,821,782,875,838,5106,Long Ranger + Aerial Duel,CB+DMF,NDS4 Brazil (2015 Season2)
Marcelo,36,DF,918,895,852,771,777,869,5082,Early Cross + Speedster,LSB,NDS4 Brazil (2015 Season2)
Willian,35,MF,1015,825,870,628,543,1049,4930,Killer Pass + Speedster,OMF+LMF+LWG+RMF+RWG,NDS4 Brazil (2015 Season2)
Coutinho,35,MF,1029,921,710,623,619,1051,4953,Long Ranger + Speed Dribble,OMF+LMF+LWG,NDS4 Brazil (2015 Season2)
Filipe Luís,34,DF,685,687,998,945,655,924,4894,Chasing + Aerial Duel,LSB,NDS4 Brazil (2015 Season2)
Fernandinho,34,MF,812,836,668,807,837,909,4869,Long Ranger + Chasing,DMF,NDS4 Brazil (2015 Season2)
Casemiro,33,MF,748,824,851,833,691,808,4755,Chasing + Frontline Feed,DMF,NDS4 Brazil (2015 Season2)
Firmino,32,FW,977,807,776,553,712,778,4603,Technician,CF+OMF,NDS4 Brazil (2015 Season2)
D. Costa,31,MF,858,712,800,597,507,901,4375,Speedster,OMF+RMF+RWG,NDS4 Brazil (2015 Season2)
É. Ribeiro,31,MF,878,736,788,577,496,888,4363,Technician,OMF+RMF,NDS4 Brazil (2015 Season2)
Jefferson,30,GK,479,799,748,947,732,737,4442,The Sentinel,GK,NDS4 Brazil (2015 Season2)
D. Tardelli,30,FW,906,749,685,542,735,728,4345,Speedster,CF+RWG+RMF+OMF,NDS4 Brazil (2015 Season2)
Robinho,29,FW,903,846,494,468,618,795,4124,Technician,CF+LWG+LMF,NDS4 Brazil (2015 Season2)
Elias,28,MF,645,709,732,713,583,704,4086,Destroyer,DMF,NDS4 Brazil (2015 Season2)
Fabinho,27,DF,657,614,696,654,671,652,3944,Destroyer,RSB,NDS4 Brazil (2015 Season2)
Fred,26,MF,600,676,662,661,540,645,3784,Flamboyant Feed,DMF+OMF+LMF,NDS4 Brazil (2015 Season2)
Benzema,40,FW,1100,1007,917,808,1002,950,5784,Striker's Instinct + Decoy Run,CF+LWG,NDS4 France (2015 Season2)
Pogba,39,MF,949,875,994,913,1045,819,5595,Bullet Shot + Chasing,DMF+OMF+LMF,NDS4 France (2015 Season2)
Griezmann,37,FW,1026,895,880,712,764,1011,5288,Striker's Instinct + Speed Dribble,CF+LWG+LMF+OMF,NDS4 France (2015 Season2)
Lloris,36,GK,598,1037,698,1092,1014,836,5275,The Sentinel + Quick Save,GK,NDS4 France (2015 Season2)
Lacazette,36,FW,993,840,881,729,806,928,5177,Striker's Instinct + Speed Dribble,CF+RWG+RMF+LWG,NDS4 France (2015 Season2)
